Model,trace name,IPC,number of instructions,number of load misses,MPKI
lime34,result_baseline_sphinx3_883B.trace.gz.txt,0.895071,100000000.0,1170094.0,11.70094
lime34,result_baseline_bzip2_259B.trace.gz.txt,0.91007,100000002.0,376008.0,3.7600799247984016
lime34,result_baseline_wrf_1228B.trace.gz.txt,0.789186,100000000.0,991081.0,9.91081
lime34,result_baseline_lbm_94B.trace.gz.txt,0.710737,100000000.0,3939003.0,39.39003
lime34,result_baseline_gcc_13B.trace.gz.txt,0.26411,100000001.0,2251342.0,22.513419774865802
lime34,result_baseline_calculix_2655B.trace.gz.txt,1.74076,100000000.0,670464.0,6.70464
lime34,result_baseline_gcc_39B.trace.gz.txt,0.725215,100000001.0,35024.0,0.3502399964976
lime34,result_baseline_wrf_1650B.trace.gz.txt,0.681322,100000000.0,837600.0,8.376
lime34,result_baseline_omnetpp_340B.trace.gz.txt,0.25452,100000000.0,2928223.0,29.28223
lime34,result_baseline_wrf_1212B.trace.gz.txt,0.564937,100000002.0,116794.0,1.1679399766412004
lime34,result_baseline_soplex_205B.trace.gz.txt,0.35581,100000003.0,4695743.0,46.95742859127714
lime34,result_baseline_perlbench_53B.trace.gz.txt,0.395659,100000000.0,171193.0,1.71193
lime34,result_baseline_zeusmp_300B.trace.gz.txt,1.34111,100000002.0,327759.0,3.2775899344482013
lime34,result_baseline_calculix_3812B.trace.gz.txt,1.75928,100000000.0,256287.0,2.56287
lime34,result_baseline_milc_744B.trace.gz.txt,0.679384,100000003.0,2610454.0,26.104539216863824
lime34,result_baseline_astar_23B.trace.gz.txt,0.324319,100000000.0,1443756.0,14.43756
lime34,result_baseline_leslie3d_94B.trace.gz.txt,0.61468,100000000.0,3647433.0,36.47433
lime34,result_baseline_lbm_1004B.trace.gz.txt,0.686695,100000001.0,4184544.0,41.845439581545605
lime34,result_baseline_astar_313B.trace.gz.txt,0.144394,100000001.0,5721543.0,57.215429427845706
lime34,result_baseline_GemsFDTD_109B.trace.gz.txt,0.608786,100000001.0,4232680.0,42.32679957673201
lime34,result_baseline_mcf_46B.trace.gz.txt,0.118661,100000001.0,11403033.0,114.03032885969671
lime34,result_baseline_sphinx3_2520B.trace.gz.txt,1.16068,100000003.0,981948.0,9.819479705415608
lime34,result_baseline_libquantum_1735B.trace.gz.txt,0.531788,100000000.0,3696916.0,36.96916
lime34,result_baseline_zeusmp_100B.trace.gz.txt,1.4116,100000003.0,687202.0,6.8720197938394065
lime34,result_baseline_sphinx3_1339B.trace.gz.txt,1.0226,100000002.0,1029999.0,10.299989794000204
lime34,result_baseline_GemsFDTD_716B.trace.gz.txt,0.344737,100000000.0,6986740.0,69.8674
lime34,result_baseline_calculix_2670B.trace.gz.txt,2.07905,100000001.0,2145.0,0.021449999785500003
lime34,result_baseline_omnetpp_17B.trace.gz.txt,0.455381,100000003.0,1975097.0,19.75096940747092
