Model,trace name,IPC,number of instructions,number of load misses,MPKI
lime34,result_baseline_sphinx3_883B.trace.gz.txt,0.895071,100000000.0,44368.0,0.44368
lime34,result_baseline_bzip2_259B.trace.gz.txt,0.91007,100000002.0,55959.0,0.5595899888082002
lime34,result_baseline_wrf_1228B.trace.gz.txt,0.789186,100000000.0,59527.0,0.59527
lime34,result_baseline_lbm_94B.trace.gz.txt,0.710737,100000000.0,390825.0,3.90825
lime34,result_baseline_gcc_13B.trace.gz.txt,0.26411,100000001.0,580768.0,5.8076799419232
lime34,result_baseline_calculix_2655B.trace.gz.txt,1.74076,100000000.0,20954.0,0.20954
lime34,result_baseline_gcc_39B.trace.gz.txt,0.725215,100000001.0,13327.0,0.13326999866730002
lime34,result_baseline_wrf_1650B.trace.gz.txt,0.681322,100000000.0,48570.0,0.4857
lime34,result_baseline_omnetpp_340B.trace.gz.txt,0.25452,100000000.0,1077882.0,10.77882
lime34,result_baseline_wrf_1212B.trace.gz.txt,0.564937,100000002.0,10878.0,0.10877999782440004
lime34,result_baseline_soplex_205B.trace.gz.txt,0.35581,100000003.0,1288015.0,12.880149613595512
lime34,result_baseline_perlbench_53B.trace.gz.txt,0.395659,100000000.0,7455.0,0.07455
lime34,result_baseline_zeusmp_300B.trace.gz.txt,1.34111,100000002.0,27459.0,0.2745899945082001
lime34,result_baseline_calculix_3812B.trace.gz.txt,1.75928,100000000.0,5264.0,0.05264
lime34,result_baseline_milc_744B.trace.gz.txt,0.679384,100000003.0,738728.0,7.387279778381607
lime34,result_baseline_astar_23B.trace.gz.txt,0.324319,100000000.0,195046.0,1.95046
lime34,result_baseline_leslie3d_94B.trace.gz.txt,0.61468,100000000.0,405612.0,4.05612
lime34,result_baseline_lbm_1004B.trace.gz.txt,0.686695,100000001.0,415574.0,4.1557399584426005
lime34,result_baseline_astar_313B.trace.gz.txt,0.144394,100000001.0,1252626.0,12.526259874737402
lime34,result_baseline_GemsFDTD_109B.trace.gz.txt,0.608786,100000001.0,425809.0,4.2580899574191005
lime34,result_baseline_mcf_46B.trace.gz.txt,0.118661,100000001.0,4526794.0,45.2679395473206
